,Unnamed: 0,chatroom,group,html,id,issue,mentions,sent,text,urls,username,clean
19,20,test_Typescript,test_Typescript,jeusdi: when you compile ts it produces a.jsbut the js has no information about the types. If you havedeclarations: trueit will also produce a.d.tsfile which has the type information,20,,,2016-11-28 11:12:41,jeusdi: when you compile ts it produces a.jsbut the js has no information about the types. If you havedeclarations: trueit will also produce a.d.tsfile which has the type information,,dtabuenc,willl try
20,21,test_Typescript,test_Typescript,the.d.tsfile is only used if you import that module in another typescript project,21,,,2016-11-28 11:12:58,the.d.tsfile is only used if you import that module in another typescript project,,dtabuenc,change
21,22,test_Typescript,test_Typescript,Got it!,22,,,2016-11-28 11:17:44,Got it!,,jeusdi,remotewebdriver
22,23,test_Typescript,test_Typescript,[<-ISSUE->] another@ahejlsbergslamdunk,23,,,2016-11-28 18:31:23,[<-ISSUE->] another@ahejlsbergslamdunk,,stevekane,iosdriver
23,24,test_Typescript,test_Typescript,how do I enable generaotrs in tsconfig so when I use async / await in 2.1.1 so my code will take advantage of generators and thus create a lot less trasnpiled code (I am only targeting latest browsers) ?,24,,,2016-11-29 01:20:18,how do I enable generaotrs in tsconfig so when I use async / await in 2.1.1 so my code will take advantage of generators and thus create a lot less trasnpiled code (I am only targeting latest browsers) ?,,born2net,
24,25,test_Typescript,test_Typescript,found it,25,,,2016-11-29 01:21:01,found it,,born2net,
25,26,test_Typescript,test_Typescript,sorry didn't find it,26,,,2016-11-29 01:23:18,sorry didn't find it,,born2net,try say
26,27,test_Typescript,test_Typescript,I thought this will do it,27,,,2016-11-29 01:24:50,I thought this will do it,,born2net,
27,28,test_Typescript,test_Typescript,[<-CODE->],28,,,2016-11-29 01:25:01,[<-CODE->],,born2net,create issue anyone help
28,29,test_Typescript,test_Typescript,but still I dont see it taking advantage of generators,29,,,2016-11-29 01:25:17,but still I dont see it taking advantage of generators,,born2net,guy want test new application need configure webdriver agent
29,30,test_Typescript,test_Typescript,when used,30,,,2016-11-29 01:25:29,when used,,born2net,capability code real device
30,31,test_Typescript,test_Typescript,[<-CODE->],31,,,2016-11-29 01:25:37,[<-CODE->],,born2net,guy one help real device capability code
31,32,test_Typescript,test_Typescript,same results,32,,,2016-11-29 01:25:39,same results,,born2net,guy want test new application need configure webdriver agent
32,33,test_Typescript,test_Typescript,also tried,33,,,2016-11-29 01:29:36,also tried,,born2net,capability code real device
33,34,test_Typescript,test_Typescript,[<-CODE->],34,,,2016-11-29 01:29:38,[<-CODE->],,born2net,new android development ive learn java past months really like work android app idea anyone help understand need study get concepts clear develop app
34,35,test_Typescript,test_Typescript,born2net: you have to target es6,35,,,2016-11-29 01:30:32,born2net: you have to target es6,,dtabuenc,
35,36,test_Typescript,test_Typescript,"""target"": ""es6""",36,,,2016-11-29 01:30:57,"""target"": ""es6""",,dtabuenc,heres link want develop sake learn
36,37,test_Typescript,test_Typescript,"the""lib""property is just for type declarations from those libs, it doesn't change what's output",37,,,2016-11-29 01:32:07,"the""lib""property is just for type declarations from those libs, it doesn't change what's output",,dtabuenc,
37,38,test_Typescript,test_Typescript,can I force typescript to trust a cast?,38,,,2016-11-30 02:32:23,can I force typescript to trust a cast?,,stevekane,look question
38,39,test_Typescript,test_Typescript,"What do you mean by ""trust""?",39,,,2016-11-30 02:32:37,"What do you mean by ""trust""?",,Izzmo,guy one help real device capability code
39,40,test_Typescript,test_Typescript,"like if I implement a safer function that the type system cannot verify is correct, can I cast it",40,,,2016-11-30 02:32:40,"like if I implement a safer function that the type system cannot verify is correct, can I cast it",,stevekane,tell use inspector ios appium
40,41,test_Typescript,test_Typescript,"such that I'm saying ""trust me compiler, this is correct""",41,,,2016-11-30 02:32:47,"such that I'm saying ""trust me compiler, this is correct""",,stevekane,achinictwitter
41,42,test_Typescript,test_Typescript,Yes,42,,,2016-11-30 02:32:50,Yes,,Izzmo,
42,43,test_Typescript,test_Typescript,yeah,43,,,2016-11-30 02:32:51,yeah,,dtabuenc,mgmanikandan thank lot let know one thing clarification enable phone support development xcode due select iphone via accessibility inspector
43,44,test_Typescript,test_Typescript,varunjayaraman: You need to use [<-LINK->] for typescript stack traces in node,44,,,2016-11-30 07:27:37,varunjayaraman: You need to use [<-LINK->] for typescript stack traces in node,,mika-fischer,connect device launch inspect though view screen
44,45,test_Typescript,test_Typescript,"Hey! Is@types/angular-mocks removed? npmjs tells me that the latest version is ""0.0.0"" and I can't find it in DT on Github :D",45,,,2016-11-30 08:28:42,"Hey! Is@types/angular-mocks removed? npmjs tells me that the latest version is ""0.0.0"" and I can't find it in DT on Github :D",,kristho91,manu thank
45,46,test_Typescript,test_Typescript,[<-LINK->],46,,,2016-11-30 08:39:04,[<-LINK->],,con-ssc,work great know know keyboard open
46,47,test_Typescript,test_Typescript,"con-ssc: I see that :) But the latest version is stated as ""0.0.0""",47,,,2016-11-30 08:39:30,"con-ssc: I see that :) But the latest version is stated as ""0.0.0""",,kristho91,andorid app
47,48,test_Typescript,test_Typescript,well if they use that in their package json so it is,48,,,2016-11-30 08:39:51,well if they use that in their package json so it is,,con-ssc,dont think option check keyboard open try catch hide keyboard throw exception mean keyboard already close
48,49,test_Typescript,test_Typescript,"True, but I can't find it on DT on github, that's why I think they maybe removed it. But could just be a mistake",49,,,2016-11-30 08:40:28,"True, but I can't find it on DT on github, that's why I think they maybe removed it. But could just be a mistake",,kristho91,work
49,50,test_Typescript,test_Typescript,[<-LINK->],50,,,2016-11-30 08:41:40,[<-LINK->],,con-ssc,languages everyone use write test mochajs ruby python think best
50,51,test_Typescript,test_Typescript,Oh... It's in another branch :D,51,,,2016-11-30 08:41:43,Oh... It's in another branch :D,,kristho91,languages everyone use write test mochajs ruby python think best
51,52,test_Typescript,test_Typescript,[<-LINK->],52,,,2016-11-30 08:42:00,[<-LINK->],,con-ssc,use appium android sdk apk installation get error never see beforedevice api level
52,53,test_Typescript,test_Typescript,They pull it from types-2.0 branchs,53,,,2016-11-30 08:42:11,They pull it from types-2.0 branchs,,kristho91,use appium android sdk apk installation get error never see beforedevice api level
53,54,test_Typescript,test_Typescript,can someone check out my code?,54,,,2016-11-30 19:54:18,can someone check out my code?,,jacobus-brogly,use appium android sdk apk installation get error never see beforedevice api level
54,55,test_Typescript,test_Typescript,[<-LINK->],55,,,2016-11-30 19:54:19,[<-LINK->],,jacobus-brogly,use appium android sdk apk installation get error never see beforedevice api level
55,56,test_Typescript,test_Typescript,first time I am using TS,56,,,2016-11-30 19:54:26,first time I am using TS,,jacobus-brogly,use appium android sdk apk installation get error never see beforedevice api level
56,57,test_Typescript,test_Typescript,I am interesting in opinions of some senior programmers,57,,,2016-11-30 19:56:46,I am interesting in opinions of some senior programmers,,jacobus-brogly,use appium android sdk apk installation get error never see beforedevice api level
57,58,test_Typescript,test_Typescript,OCD comment: remove your commented code,58,,,2016-11-30 19:57:19,OCD comment: remove your commented code,,stevekane,use appium android sdk apk installation get error never see beforedevice api level
58,59,test_Typescript,test_Typescript,??,59,,,2016-11-30 19:58:23,??,,jacobus-brogly,use appium android sdk apk installation get error never see beforedevice api level
59,60,test_Typescript,test_Typescript,[<-LINK->] tons of commented out content here,60,,,2016-11-30 19:58:40,[<-LINK->] tons of commented out content here,,stevekane,use appium android sdk apk installation get error never see beforedevice api level
60,61,test_Typescript,test_Typescript,just makes your clarity worse as reviewer and author,61,,,2016-11-30 19:58:49,just makes your clarity worse as reviewer and author,,stevekane,use appium android sdk apk installation get error never see beforedevice api level
61,62,test_Typescript,test_Typescript,lol,62,,,2016-11-30 19:59:23,lol,,jacobus-brogly,sankleta run appiumdoctor command post log
62,63,test_Typescript,test_Typescript,"thats 30 lines, in a 60 line test program",63,,,2016-11-30 19:59:38,"thats 30 lines, in a 60 line test program",,jacobus-brogly,sankleta run appiumdoctor command post log
63,64,test_Typescript,test_Typescript,using greek letters is charming but ultimately bad for working with your code,64,,,2016-11-30 19:59:45,using greek letters is charming but ultimately bad for working with your code,,dtabuenc,info appiumdoctor appium doctor
64,65,test_Typescript,test_Typescript,its statistics,65,,,2016-11-30 19:59:59,its statistics,,jacobus-brogly,info appiumdoctor appium doctor
65,66,test_Typescript,test_Typescript,sigma,66,,,2016-11-30 20:00:01,sigma,,jacobus-brogly,info appiumdoctor appium doctor
66,67,test_Typescript,test_Typescript,D3 gave me the idea,67,,,2016-11-30 20:00:07,D3 gave me the idea,,jacobus-brogly,info appiumdoctor appium doctor
67,68,test_Typescript,test_Typescript,I know but it just makes it harder to work with it.,68,,,2016-11-30 20:00:16,I know but it just makes it harder to work with it.,,dtabuenc,info appiumdoctor appium doctor
68,69,test_Typescript,test_Typescript,they us greeks like no other,69,,,2016-11-30 20:00:17,they us greeks like no other,,jacobus-brogly,info appiumdoctor appium doctor
69,70,test_Typescript,test_Typescript,people have to figure ou how to type that on a keyboard.,70,,,2016-11-30 20:00:23,people have to figure ou how to type that on a keyboard.,,dtabuenc,info appiumdoctor appium doctor
70,71,test_Typescript,test_Typescript,or alt-code,71,,,2016-11-30 20:00:24,or alt-code,,dtabuenc,info appiumdoctor appium doctor
71,72,test_Typescript,test_Typescript,it's annoying,72,,,2016-11-30 20:00:26,it's annoying,,dtabuenc,info appiumdoctor appium doctor
72,73,test_Typescript,test_Typescript,although it might look visually prettier,73,,,2016-11-30 20:00:33,although it might look visually prettier,,dtabuenc,info appiumdoctor appium doctor
73,74,test_Typescript,test_Typescript,"i will keep it, but thanks",74,,,2016-11-30 20:00:42,"i will keep it, but thanks",,jacobus-brogly,info appiumdoctor appium doctor
74,75,test_Typescript,test_Typescript,I'd rather seelet sigma =,75,,,2016-11-30 20:00:42,I'd rather seelet sigma =,,dtabuenc,info appiumdoctor appium doctor
75,76,test_Typescript,test_Typescript,Maybe do it like es6 with Number.EPSILON,76,,,2016-11-30 20:00:52,Maybe do it like es6 with Number.EPSILON,,con-ssc,info appiumdoctor appium doctor
76,77,test_Typescript,test_Typescript,sigma is not a constant like PI or Epsilon,77,,,2016-11-30 20:01:19,sigma is not a constant like PI or Epsilon,,jacobus-brogly,info appiumdoctor appium doctor
77,78,test_Typescript,test_Typescript,Lately I've been also trying to use const more instead of let,78,,,2016-11-30 20:01:24,Lately I've been also trying to use const more instead of let,,dtabuenc,info appiumdoctor appium doctor
78,79,test_Typescript,test_Typescript,only going to let when I need to,79,,,2016-11-30 20:01:30,only going to let when I need to,,dtabuenc,info appiumdoctor appium doctor
79,80,test_Typescript,test_Typescript,I agree w/@dtabuencand@jacobus-brogly,80,,,2016-11-30 20:01:38,I agree w/@dtabuencand@jacobus-brogly,,stevekane,info appiumdoctor appium doctor
80,81,test_Typescript,test_Typescript,yes const is pretty handy,81,,,2016-11-30 20:01:40,yes const is pretty handy,,con-ssc,info appiumdoctor appium doctor
81,82,test_Typescript,test_Typescript,it seems to catch a lot more problems,82,,,2016-11-30 20:01:46,it seems to catch a lot more problems,,dtabuenc,info appiumdoctor appium doctor
82,83,test_Typescript,test_Typescript,I think symbols are fantastic conceptually and ligatures are a great example of their effectiveness,83,,,2016-11-30 20:01:52,I think symbols are fantastic conceptually and ligatures are a great example of their effectiveness,,stevekane,info appiumdoctor appium doctor
83,84,test_Typescript,test_Typescript,with unintended reference re-assignment,84,,,2016-11-30 20:01:54,with unintended reference re-assignment,,dtabuenc,info appiumdoctor appium doctor
84,85,test_Typescript,test_Typescript,but they are still challenging to type :/,85,,,2016-11-30 20:01:59,but they are still challenging to type :/,,stevekane,info appiumdoctor appium doctor
85,86,test_Typescript,test_Typescript,"so no comments on structure , templating, .. thats good",86,,,2016-11-30 20:02:12,"so no comments on structure , templating, .. thats good",,jacobus-brogly,info appiumdoctor appium doctor
86,87,test_Typescript,test_Typescript,So you are going for a rogue-like?,87,,,2016-11-30 20:02:30,So you are going for a rogue-like?,,con-ssc,info appiumdoctor appium doctor
87,88,test_Typescript,test_Typescript,we're getting the bike-shedding out of the way first,88,,,2016-11-30 20:02:36,we're getting the bike-shedding out of the way first,,stevekane,sankleta post desire cap device android version
88,89,test_Typescript,test_Typescript,we'll start on substance soon,89,,,2016-11-30 20:02:41,we'll start on substance soon,,stevekane,sankleta post desire cap device android version
89,90,test_Typescript,test_Typescript,lol,90,,,2016-11-30 20:03:00,lol,,dtabuenc,sure heredef setup desiredcaps desiredcapsplatformname android desiredcapsplatformversion desiredcapsdevicename mrcucumber desiredcapsapp apk device well
90,91,test_Typescript,test_Typescript,this is very representative of ANY time you ask for feedback lol,91,,,2016-11-30 20:03:21,this is very representative of ANY time you ask for feedback lol,,stevekane,sure heredef setup desiredcaps desiredcapsplatformname android desiredcapsplatformversion desiredcapsdevicename mrcucumber desiredcapsapp apk device well
91,92,test_Typescript,test_Typescript,I would be looking for a bit more consistency in naming scheme,92,,,2016-11-30 20:03:26,I would be looking for a bit more consistency in naming scheme,,dtabuenc,sankleta try apk seem every look fine need check android source code
92,93,test_Typescript,test_Typescript,[<-LINK->],93,,,2016-11-30 20:03:30,[<-LINK->],,jacobus-brogly,sankleta try apk seem every look fine need check android source code
93,94,test_Typescript,test_Typescript,the code generates this,94,,,2016-11-30 20:03:32,the code generates this,,jacobus-brogly,try get scroll work python android doesnt seem implement selenium ive search everywhere brain hurt pythonclient source see follow
94,95,test_Typescript,test_Typescript,procedure dungeon map,95,,,2016-11-30 20:03:41,procedure dungeon map,,jacobus-brogly,ive try
95,96,test_Typescript,test_Typescript,its not done yet,96,,,2016-11-30 20:03:47,its not done yet,,jacobus-brogly,doesnt seem work
96,97,test_Typescript,test_Typescript,[<-CODE->],97,,,2016-11-30 20:03:53,[<-CODE->],,dtabuenc,one give error say str func
97,98,test_Typescript,test_Typescript,That reminds me a bit of Space Quest the board game,98,,,2016-11-30 20:03:57,That reminds me a bit of Space Quest the board game,,con-ssc,test websites apps api help appreciate
98,99,test_Typescript,test_Typescript,the final result should look like this,99,,,2016-11-30 20:03:59,the final result should look like this,,jacobus-brogly,doesnt work
99,100,test_Typescript,test_Typescript,some functions are camel-case some are snake-case etc..,100,,,2016-11-30 20:04:11,some functions are camel-case some are snake-case etc..,,dtabuenc,get follow
100,101,test_Typescript,test_Typescript,an editorconfig and a tslintrc would come in handy,101,,,2016-11-30 20:04:51,an editorconfig and a tslintrc would come in handy,,con-ssc,ive luck scroll swipe event try
101,102,test_Typescript,test_Typescript,[<-LINK->],102,,,2016-11-30 20:05:14,[<-LINK->],,jacobus-brogly,use mocha though
102,103,test_Typescript,test_Typescript,the final result should look like this,103,,,2016-11-30 20:05:23,the final result should look like this,,jacobus-brogly,send example
103,104,test_Typescript,test_Typescript,"yeah, I mix CamelCase and _",104,,,2016-11-30 20:05:38,"yeah, I mix CamelCase and _",,jacobus-brogly,sure
104,105,test_Typescript,test_Typescript,I think in general your code looks good,105,,,2016-11-30 20:05:45,I think in general your code looks good,,stevekane,thank much
105,106,test_Typescript,test_Typescript,i chaned later in the game,106,,,2016-11-30 20:05:45,i chaned later in the game,,jacobus-brogly,think bald soon
106,107,test_Typescript,test_Typescript,would definiately be nice if you can make it that far,107,,,2016-11-30 20:05:51,would definiately be nice if you can make it that far,,con-ssc,lol
107,108,test_Typescript,test_Typescript,there are a lot of stylistic ways to pick at it,108,,,2016-11-30 20:05:52,there are a lot of stylistic ways to pick at it,,stevekane,
108,109,test_Typescript,test_Typescript,dtabuenc: the naming follows the usage exaclty,109,,,2016-11-30 20:06:01,dtabuenc: the naming follows the usage exaclty,,jacobus-brogly,thank let try
109,110,test_Typescript,test_Typescript,and you should probably strive to pull data and rendering concerns apart,110,,,2016-11-30 20:06:02,and you should probably strive to pull data and rendering concerns apart,,stevekane,beware though mocha python
110,111,test_Typescript,test_Typescript,as much as you possibly can,111,,,2016-11-30 20:06:06,as much as you possibly can,,stevekane,probably tell
111,112,test_Typescript,test_Typescript,to find the true data-essence of your model,112,,,2016-11-30 20:06:13,to find the true data-essence of your model,,stevekane,haha worry try translate
112,113,test_Typescript,test_Typescript,as a completely independent concept from HOW you will draw it,113,,,2016-11-30 20:06:22,as a completely independent concept from HOW you will draw it,,stevekane,thank thank
113,114,test_Typescript,test_Typescript,con-ssc: the carpets I am going to place,114,,,2016-11-30 20:06:45,con-ssc: the carpets I am going to place,,jacobus-brogly,work
114,115,test_Typescript,test_Typescript,also you have several 1-liner=>that you don't make 1-liners,115,,,2016-11-30 20:06:47,also you have several 1-liner=>that you don't make 1-liners,,stevekane,ugh nope
115,116,test_Typescript,test_Typescript,louse coupling,116,,,2016-11-30 20:06:52,louse coupling,,con-ssc,message yet implement please help
116,117,test_Typescript,test_Typescript,then the fire lamps,117,,,2016-11-30 20:07:00,then the fire lamps,,jacobus-brogly,simply
117,118,test_Typescript,test_Typescript,"also as a matter of style, try to put data types at the header of a file",118,,,2016-11-30 20:07:13,"also as a matter of style, try to put data types at the header of a file",,stevekane,python appium client say
118,119,test_Typescript,test_Typescript,followed by exported functions/classes,119,,,2016-11-30 20:07:20,followed by exported functions/classes,,stevekane,mmcintyre thank try tho
119,120,test_Typescript,test_Typescript,then private or non-exported functions/classes,120,,,2016-11-30 20:07:30,then private or non-exported functions/classes,,stevekane,help much python unfortunately tell mocha swipe action part library
120,121,test_Typescript,test_Typescript,this is purely an arbitrary preference from reading codebases tho,121,,,2016-11-30 20:07:39,this is purely an arbitrary preference from reading codebases tho,,stevekane,see instrument fail able locate device specify iphone simulator better explicit like provide iphone
121,122,test_Typescript,test_Typescript,yeah a more C like programming style might make sense,122,,,2016-11-30 20:08:06,yeah a more C like programming style might make sense,,jacobus-brogly,mmcintyre hmm let try mocha take
122,123,test_Typescript,test_Typescript,"Hey guys, quick question. I'm working on creating some type definitions for existing JS-code, and I'm curious if there's a way via module declaration merging that I can update/extend a type alias. The handbookseemsto imply it's possible, but I'm not finding a way to do it?",123,,,2016-11-30 20:08:09,"Hey guys, quick question. I'm working on creating some type definitions for existing JS-code, and I'm curious if there's a way via module declaration merging that I can update/extend a type alias. The handbookseemsto imply it's possible, but I'm not finding a way to do it?",,dlee-nvisia,reywinters good luck
123,124,test_Typescript,test_Typescript,So anyone has a small ts github project or something where I can support ? I want to get my hands dirty a bit,124,,,2016-11-30 20:08:25,So anyone has a small ts github project or something where I can support ? I want to get my hands dirty a bit,,con-ssc,reywinters face still scroll issue
124,125,test_Typescript,test_Typescript,"its not small, I need to port 5000+ lines of code to TS",125,,,2016-11-30 20:10:02,"its not small, I need to port 5000+ lines of code to TS",,jacobus-brogly,mgmanikandan yep
125,126,test_Typescript,test_Typescript,:),126,,,2016-11-30 20:10:10,:),,con-ssc,reywinters android ios
126,127,test_Typescript,test_Typescript,[<-LINK->],127,,,2016-11-30 20:10:32,[<-LINK->],,jacobus-brogly,xcode
127,128,test_Typescript,test_Typescript,That may be too much for me but I could try to contribute,128,,,2016-11-30 20:10:34,That may be too much for me but I could try to contribute,,con-ssc,listview androidelement work
128,129,test_Typescript,test_Typescript,it works,129,,,2016-11-30 20:10:35,it works,,jacobus-brogly,write multiple test start second test give new session create detail problem get session data driver type androiddriver implement get driverdata warn server provide stacktrace informationdo need instantiate
129,130,test_Typescript,test_Typescript,oase project works,130,,,2016-11-30 20:10:45,oase project works,,jacobus-brogly,try override session appium server
130,131,test_Typescript,test_Typescript,but still alpha,131,,,2016-11-30 20:10:49,but still alpha,,jacobus-brogly,tekisrinivas work still close app first testcase method
131,132,test_Typescript,test_Typescript,"some 1500+ downloads a month , but in valilla js",132,,,2016-11-30 20:11:08,"some 1500+ downloads a month , but in valilla js",,jacobus-brogly,ther anyone online
132,133,test_Typescript,test_Typescript,jacobus-brogly: I'd code-golf this project if I were you,133,,,2016-11-30 20:11:29,jacobus-brogly: I'd code-golf this project if I were you,,stevekane,start new session possible cause invalid address remote server browser startup get error try automate hybrid app please help
133,134,test_Typescript,test_Typescript,well I could try if you want,134,,,2016-11-30 20:11:29,well I could try if you want,,con-ssc,long script run
134,135,test_Typescript,test_Typescript,you learn a lot about how to wield the tools,135,,,2016-11-30 20:11:34,you learn a lot about how to wield the tools,,stevekane,rahul stop appium stop app device start appium
135,136,test_Typescript,test_Typescript,Would be interesting,136,,,2016-11-30 20:11:38,Would be interesting,,con-ssc,run daily individually batch run fail pass
136,137,test_Typescript,test_Typescript,from striving for minimalism in expressing your domain,137,,,2016-11-30 20:11:40,from striving for minimalism in expressing your domain,,stevekane,rahulchulliparambil post cap
137,138,test_Typescript,test_Typescript,"your code already trends that direction, so I'd encourage you to further compress it",138,,,2016-11-30 20:11:56,"your code already trends that direction, so I'd encourage you to further compress it",,stevekane,cap mean
138,139,test_Typescript,test_Typescript,code-golf? wtf is that?,139,,,2016-11-30 20:11:58,code-golf? wtf is that?,,jacobus-brogly,desire capabilities
139,140,test_Typescript,test_Typescript,[<-LINK->],140,,,2016-11-30 20:12:07,[<-LINK->],,stevekane,
140,141,test_Typescript,test_Typescript,But then I'd really need a editorconfig and a tslintrc,141,,,2016-11-30 20:12:10,But then I'd really need a editorconfig and a tslintrc,,con-ssc,
141,142,test_Typescript,test_Typescript,"read this post at some point, it's excellent",142,,,2016-11-30 20:12:14,"read this post at some point, it's excellent",,stevekane,new urlurl
142,143,test_Typescript,test_Typescript,mm ok,143,,,2016-11-30 20:12:50,mm ok,,jacobus-brogly,url
143,144,test_Typescript,test_Typescript,"ok, back to coding, see you later folks",144,,,2016-11-30 20:16:28,"ok, back to coding, see you later folks",,jacobus-brogly,divyatfw yes individually work fine
144,145,test_Typescript,test_Typescript,anyone know how to override Webpack Dev Server complaints about errors while compiling so a reload was prevented,145,,,2016-12-01 20:56:19,anyone know how to override Webpack Dev Server complaints about errors while compiling so a reload was prevented,,varunjayaraman,web driver work hybrid app
145,146,test_Typescript,test_Typescript,there was a typescript error but it's non fatal,146,,,2016-12-01 20:56:31,there was a typescript error but it's non fatal,,varunjayaraman,driver new androiddrivernew urlurl
146,147,test_Typescript,test_Typescript,it's just like property x can't exist on type {} or whatever,147,,,2016-12-01 20:56:46,it's just like property x can't exist on type {} or whatever,,varunjayaraman,ask url params
147,148,test_Typescript,test_Typescript,because i modified an object after i declared it,148,,,2016-12-01 20:56:55,because i modified an object after i declared it,,varunjayaraman,appium url
148,149,test_Typescript,test_Typescript,if you use awesome-typescript-loader with fork checker plugin you can split type checking from compilation,149,,,2016-12-01 21:00:57,if you use awesome-typescript-loader with fork checker plugin you can split type checking from compilation,,dtabuenc,public class firstappiumtrial
149,150,test_Typescript,test_Typescript,for ts-loader I think there's an option to not do type checking,150,,,2016-12-01 21:01:08,for ts-loader I think there's an option to not do type checking,,dtabuenc,appium log
150,151,test_Typescript,test_Typescript,what about other errors that are not typescript-related?,151,,,2016-12-01 21:01:32,what about other errors that are not typescript-related?,,varunjayaraman,actually new appium dont know much appium log mean
151,152,test_Typescript,test_Typescript,actually ts-loader won't propogate errros to webpack so it will build fine even if you have a few type errors,152,,,2016-12-01 21:02:26,actually ts-loader won't propogate errros to webpack so it will build fine even if you have a few type errors,,dtabuenc,start appium
152,153,test_Typescript,test_Typescript,Anybody have a good example of TSX/React? Having hell clearing my terminal of[at-loader]errors. -_-,153,,,2016-12-01 23:45:04,Anybody have a good example of TSX/React? Having hell clearing my terminal of[at-loader]errors. -_-,,colshacol,divyatfw run code eclipse
153,154,test_Typescript,test_Typescript,colshacol: It's probably better you share what type of errors you are seeing.,154,,,2016-12-01 23:46:09,colshacol: It's probably better you share what type of errors you are seeing.,,dtabuenc,mgmanikandan yes start
154,155,test_Typescript,test_Typescript,"I was receivingcannot find module ""...""on everything, but I switched fromimport ... from ...torequire()and those are gone.",155,,,2016-12-01 23:47:04,"I was receivingcannot find module ""...""on everything, but I switched fromimport ... from ...torequire()and those are gone.",,colshacol,divyatfw try start apium server override exist session
155,156,test_Typescript,test_Typescript,Right now I am working to clear these out: [<-CODE->],156,,,2016-12-01 23:47:21,Right now I am working to clear these out: [<-CODE->],,colshacol,mgmanikandan delete cache data start run alternative problem
156,157,test_Typescript,test_Typescript,colshacol: sounds like you are missing typing definitions for modules,157,,,2016-12-01 23:47:22,colshacol: sounds like you are missing typing definitions for modules,,dtabuenc,override exist session option appium shud add capabilit
